treeDepth, leafs, distanceLeafs, totalHashes, hashesPerLeaf
13, 24, 1, 32, 1.33
13, 25, 1, 35, 1.4
13, 26, 1, 35, 1.35
13, 27, 1, 36, 1.33
13, 28, 1, 36, 1.29
13, 29, 1, 38, 1.31
13, 30, 1, 38, 1.27
13, 2, 2, 14, 7
13, 3, 2, 16, 5.33
13, 4, 2, 17, 4.25
13, 5, 2, 20, 4
13, 6, 2, 21, 3.5
13, 7, 2, 23, 3.29
13, 8, 2, 24, 3
13, 9, 2, 28, 3.11
13, 10, 2, 29, 2.9
13, 11, 2, 31, 2.82
13, 12, 2, 32, 2.67
13, 13, 2, 35, 2.69
13, 14, 2, 36, 2.57
13, 15, 2, 38, 2.53
13, 16, 2, 39, 2.44
13, 17, 2, 44, 2.59
13, 18, 2, 45, 2.5
13, 19, 2, 47, 2.47
13, 20, 2, 48, 2.4
13, 21, 2, 51, 2.43
13, 22, 2, 52, 2.36
13, 23, 2, 54, 2.35
13, 24, 2, 55, 2.29
13, 25, 2, 59, 2.36
13, 26, 2, 60, 2.31
13, 27, 2, 62, 2.3
13, 28, 2, 63, 2.25
13, 29, 2, 66, 2.28
13, 30, 2, 67, 2.23
13, 2, 3, 14, 7
13, 3, 3, 16, 5.33
13, 4, 3, 19, 4.75
13, 5, 3, 21, 4.2
13, 6, 3, 22, 3.67
13, 7, 3, 26, 3.71
13, 8, 3, 28, 3.5
13, 9, 3, 31, 3.44
13, 10, 3, 32, 3.2
13, 11, 3, 34, 3.09
13, 12, 3, 39, 3.25
13, 13, 3, 41, 3.15
13, 14, 3, 42, 3
13, 15, 3, 45, 3
13, 16, 3, 47, 2.94
13, 17, 3, 51, 3
13, 18, 3, 52, 2.89
13, 19, 3, 54, 2.84
13, 20, 3, 57, 2.85
13, 21, 3, 59, 2.81
13, 22, 3, 60, 2.73
13, 23, 3, 66, 2.87
13, 24, 3, 68, 2.83
13, 25, 3, 71, 2.84
13, 26, 3, 72, 2.77
13, 27, 3, 74, 2.74
13, 28, 3, 78, 2.79
13, 29, 3, 80, 2.76
13, 30, 3, 81, 2.7
13, 2, 4, 15, 7.5
13, 3, 4, 18, 6
13, 4, 4, 20, 5
13, 5, 4, 24, 4.8
13, 6, 4, 26, 4.33
13, 7, 4, 29, 4.14
13, 8, 4, 31, 3.88
13, 9, 4, 36, 4
13, 10, 4, 38, 3.8
13, 11, 4, 41, 3.73
13, 12, 4, 43, 3.58
13, 13, 4, 47, 3.62
13, 14, 4, 49, 3.5
13, 15, 4, 52, 3.47
13, 16, 4, 54, 3.38
13, 17, 4, 60, 3.53
13, 18, 4, 62, 3.44
13, 19, 4, 65, 3.42
13, 20, 4, 67, 3.35
13, 21, 4, 71, 3.38
13, 22, 4, 73, 3.32
13, 23, 4, 76, 3.3
13, 24, 4, 78, 3.25
13, 25, 4, 83, 3.32
13, 26, 4, 85, 3.27
13, 27, 4, 88, 3.26
13, 28, 4, 90, 3.21
13, 29, 4, 94, 3.24
13, 30, 4, 96, 3.2
13, 2, 5, 15, 7.5
13, 3, 5, 18, 6
13, 4, 5, 20, 5
13, 5, 5, 24, 4.8
13, 6, 5, 27, 4.5
13, 7, 5, 29, 4.14
13, 8, 5, 34, 4.25
13, 9, 5, 37, 4.11
13, 10, 5, 39, 3.9
13, 11, 5, 43, 3.91
13, 12, 5, 45, 3.75
13, 13, 5, 48, 3.69
13, 14, 5, 54, 3.86
13, 15, 5, 56, 3.73
13, 16, 5, 59, 3.69
13, 17, 5, 63, 3.71
13, 18, 5, 65, 3.61
13, 19, 5, 68, 3.58
13, 20, 5, 70, 3.5
13, 21, 5, 75, 3.57
13, 22, 5, 78, 3.55
13, 23, 5, 80, 3.48
13, 24, 5, 84, 3.5
13, 25, 5, 87, 3.48
13, 26, 5, 89, 3.42
13, 27, 5, 96, 3.56
13, 28, 5, 98, 3.5
13, 29, 5, 101, 3.48
13, 30, 5, 105, 3.5
14, 2, 1, 14, 7
14, 3, 1, 15, 5
14, 4, 1, 15, 3.75
14, 5, 1, 17, 3.4
